"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005040302","Census Tract 403.02, Bronx County, New York",4386,4386,914,3472,1145,29.2
"36005040303","Census Tract 403.03, Bronx County, New York",4478,4478,980,3498,1116,33.3
"36005040304","Census Tract 403.04, Bronx County, New York",3794,3794,1021,2773,945,32.4
"36005040400","Census Tract 404, Bronx County, New York",3016,3016,2564,452,195,35
"36005040501","Census Tract 405.01, Bronx County, New York",4397,4397,1295,3102,955,29.3
"36005040502","Census Tract 405.02, Bronx County, New York",6863,6863,2358,4505,1437,32.1
"36005040600","Census Tract 406, Bronx County, New York",3490,3490,2897,593,146,32.9
"36005040701","Census Tract 407.01, Bronx County, New York",3347,3347,841,2506,933,31.4
"36005040702","Census Tract 407.02, Bronx County, New York",6652,6652,2143,4509,2051,31
"36005040800","Census Tract 408, Bronx County, New York",4263,4263,2620,1643,559,31.7
"36005040900","Census Tract 409, Bronx County, New York",3637,3637,3123,514,851,39.3
"36005041100","Census Tract 411, Bronx County, New York",2931,2931,1111,1820,883,32.2
"36005041300","Census Tract 413, Bronx County, New York",7384,7384,2652,4732,2690,33.1
"36005041400","Census Tract 414, Bronx County, New York",5027,5027,3982,1045,564,32.8
"36005041500","Census Tract 415, Bronx County, New York",5461,5461,2104,3357,1840,34.1
"36005041800","Census Tract 418, Bronx County, New York",3598,3598,2596,1002,439,32.7
"36005041900","Census Tract 419, Bronx County, New York",6734,6734,2823,3911,2147,32.9
"36005042000","Census Tract 420, Bronx County, New York",3850,3850,2511,1339,629,33.1
"36005042100","Census Tract 421, Bronx County, New York",5922,5922,2450,3472,1638,32.5
"36005042200","Census Tract 422, Bronx County, New York",3086,3086,2526,560,317,36.7
"36005042300","Census Tract 423, Bronx County, New York",4100,4100,1710,2390,1425,30.1
"36005042400","Census Tract 424, Bronx County, New York",2481,2481,2068,413,203,40.6
"36005042500","Census Tract 425, Bronx County, New York",6793,6793,2556,4237,2236,29.4
"36005042600","Census Tract 426, Bronx County, New York",6387,6387,5719,668,389,37.4
